"ï»¿Customer ID","Subscription Length (Months)","Customer Satisfaction Score (1-10)","Daily Watch Time (Hours)","Engagement Rate (1-10)","Device Used Most Often","Genre Preference",Region,"Payment History (On-Time/Delayed)","Subscription Plan","Churn Status (Yes/No)","Support Queries Logged",Age,"Monthly Income ($)","Promotional Offers Used","Number of Profiles Created",Churn_Flag,AvgWatchPerProfile,Income_bracket,Age_group
C00001,12,10,4.85,4,Tablet,Action,Europe,On-Time,Basic,No,10,33,6250,5,2,0,2.43,Medium,Young
C00002,12,8,1.75,9,Laptop,Thriller,Europe,On-Time,Basic,Yes,9,28,7018,1,5,1,0.35,High,Young
C00003,3,4,2.75,9,"Smart TV",Comedy,Asia,On-Time,Premium,Yes,3,18,1055,1,5,1,0.55,Low,Teen
C00004,3,7,3,9,"Smart TV",Drama,Europe,Delayed,Premium,No,5,32,6707,5,4,0,0.75,Medium,Young
C00005,24,2,1.37,5,Mobile,Drama,"North America",On-Time,Standard,Yes,2,59,1506,3,5,1,0.27,Low,Senior
C00006,3,4,4.95,3,Tablet,Romance,Africa,Delayed,Basic,Yes,7,69,5581,4,3,1,1.65,Medium,Senior
C00007,12,4,0.71,3,Tablet,Thriller,Africa,Delayed,Standard,No,3,25,2238,2,3,0,0.24,Low,Young
C00008,6,5,3.54,2,Laptop,Romance,"South America",On-Time,Standard,Yes,4,49,3630,5,3,1,1.18,Medium,Adult
C00009,6,9,3.79,1,Laptop,Drama,Africa,On-Time,Basic,Yes,6,27,4535,1,4,1,0.95,Medium,Young
C00010,3,6,3.61,6,Laptop,Action,"North America",On-Time,Premium,No,0,56,7395,2,1,0,3.61,High,Senior
C00011,1,9,2.88,9,Laptop,Sci-Fi,"North America",Delayed,Basic,No,3,27,1660,0,2,0,1.44,Low,Young
C00012,6,7,0.78,6,Desktop,Thriller,Europe,On-Time,Basic,No,3,44,9436,0,5,0,0.16,High,Adult
C00013,3,3,1.17,9,Laptop,Romance,Asia,Delayed,Premium,No,8,70,4582,0,3,0,0.39,Medium,Senior
C00014,1,2,2.7,3,Tablet,Comedy,"South America",Delayed,Standard,No,5,62,3258,2,1,0,2.70,Medium,Senior
C00015,6,3,2.01,6,"Smart TV",Romance,Asia,Delayed,Premium,Yes,7,36,7283,2,1,1,2.01,High,Adult
C00016,3,1,0.77,10,Tablet,Sci-Fi,Africa,On-Time,Premium,Yes,5,27,4807,4,5,1,0.15,Medium,Young
C00017,6,2,0.78,2,Laptop,Drama,Asia,Delayed,Basic,Yes,10,43,9913,3,1,1,0.78,High,Adult
C00018,3,3,4.82,2,Laptop,Action,Africa,On-Time,Standard,No,3,60,7265,5,3,0,1.61,High,Senior
C00019,1,9,1.08,7,"Smart TV",Sci-Fi,Asia,Delayed,Basic,Yes,9,56,1229,0,4,1,0.27,Low,Senior
C00020,6,2,4.27,9,Desktop,Romance,Europe,Delayed,Basic,Yes,6,48,6091,4,2,1,2.14,Medium,Adult
C00021,6,3,4.91,3,Tablet,Action,Asia,On-Time,Premium,Yes,3,70,5614,0,4,1,1.23,Medium,Senior
C00022,12,4,3.56,6,Tablet,Drama,Africa,On-Time,Basic,Yes,6,44,8947,3,4,1,0.89,High,Adult
C00023,24,7,0.81,1,Desktop,Documentary,"North America",On-Time,Premium,Yes,7,67,6720,3,5,1,0.16,Medium,Senior
C00024,24,5,3.36,8,Tablet,Sci-Fi,Asia,On-Time,Standard,No,0,43,6368,1,5,0,0.67,Medium,Adult
C00025,6,2,3.11,5,Laptop,Romance,Africa,Delayed,Premium,No,4,55,7359,0,5,0,0.62,High,Adult
C00026,1,6,0.77,10,"Smart TV",Thriller,"North America",Delayed,Basic,No,5,64,3295,5,1,0,0.77,Medium,Senior
C00027,24,9,4.4,3,Desktop,Drama,Europe,Delayed,Standard,No,9,36,8345,2,1,0,4.40,High,Adult
C00028,3,2,2.11,10,"Smart TV",Thriller,"North America",Delayed,Standard,No,0,23,8582,5,3,0,0.70,High,Young
C00029,12,10,0.92,9,Laptop,Drama,Africa,Delayed,Basic,Yes,6,26,7472,2,1,1,0.92,High,Young
C00030,1,7,2.07,9,Laptop,Drama,Asia,Delayed,Basic,Yes,10,43,6153,0,5,1,0.41,Medium,Adult
C00031,12,8,1.41,1,Desktop,Action,Africa,On-Time,Premium,Yes,7,20,6097,1,5,1,0.28,Medium,Young
C00032,12,6,3.77,2,Tablet,Sci-Fi,Africa,Delayed,Premium,Yes,8,56,3059,1,2,1,1.89,Medium,Senior
C00033,3,9,3.48,6,Desktop,Documentary,Europe,On-Time,Premium,No,8,25,9767,1,2,0,1.74,High,Young
C00034,12,4,4.97,6,Laptop,Romance,Asia,Delayed,Premium,No,6,70,2928,0,3,0,1.66,Low,Senior
C00035,3,10,1.68,1,Desktop,Sci-Fi,Europe,Delayed,Standard,Yes,3,37,7751,0,1,1,1.68,High,Adult
C00036,6,1,3.03,5,Desktop,Sci-Fi,"South America",On-Time,Basic,Yes,6,48,4277,4,5,1,0.61,Medium,Adult
C00037,3,2,1.93,6,Mobile,Thriller,"North America",On-Time,Basic,Yes,9,25,6098,1,4,1,0.48,Medium,Young
C00038,6,1,1.61,3,Desktop,Documentary,Africa,Delayed,Basic,No,6,69,6014,5,3,0,0.54,Medium,Senior
C00039,6,6,4.93,9,Laptop,Romance,Africa,On-Time,Premium,No,4,42,8933,5,2,0,2.47,High,Adult
C00040,1,6,5,5,Mobile,Drama,"South America",On-Time,Basic,No,1,30,1645,1,2,0,2.50,Low,Young
C00041,1,5,1.04,4,Tablet,Romance,"North America",Delayed,Standard,Yes,1,57,1689,1,5,1,0.21,Low,Senior
C00042,24,4,4.7,8,Tablet,Drama,Asia,Delayed,Standard,Yes,3,37,2406,4,5,1,0.94,Low,Adult
C00043,6,3,2.68,10,Laptop,Comedy,"South America",Delayed,Premium,No,5,27,5419,4,2,0,1.34,Medium,Young
C00044,12,3,2.6,9,Laptop,Documentary,Asia,Delayed,Premium,Yes,3,53,3696,0,4,1,0.65,Medium,Adult
C00045,3,8,3.01,6,"Smart TV",Comedy,"South America",Delayed,Premium,No,9,34,3487,2,2,0,1.51,Medium,Young
C00046,6,10,0.71,9,Laptop,Thriller,"South America",On-Time,Standard,Yes,10,44,4510,5,1,1,0.71,Medium,Adult
C00047,24,4,3.5,3,Desktop,Documentary,Africa,On-Time,Premium,Yes,10,56,6064,0,4,1,0.88,Medium,Senior
C00048,6,7,0.58,2,"Smart TV",Drama,Asia,On-Time,Premium,No,0,62,7178,1,3,0,0.19,High,Senior
C00049,3,1,1.48,9,Tablet,Action,Africa,Delayed,Basic,Yes,6,34,9583,0,1,1,1.48,High,Young
C00050,24,1,4.83,2,Tablet,Drama,Africa,On-Time,Basic,No,5,19,7295,1,5,0,0.97,High,Teen
C00051,6,5,3.85,4,Desktop,Thriller,Europe,On-Time,Premium,Yes,3,63,6180,0,4,1,0.96,Medium,Senior
C00052,24,6,2.95,2,"Smart TV",Romance,"South America",On-Time,Standard,Yes,2,68,8261,0,2,1,1.48,High,Senior
C00053,24,8,1.23,3,Tablet,Comedy,"North America",Delayed,Basic,No,0,56,5247,2,3,0,0.41,Medium,Senior
C00054,1,5,3.14,9,Laptop,Sci-Fi,Europe,Delayed,Basic,Yes,0,29,7004,5,3,1,1.05,High,Young
C00055,3,5,1.36,4,Mobile,Romance,"South America",On-Time,Standard,Yes,5,20,4544,1,1,1,1.36,Medium,Young
C00056,1,9,2.33,5,Desktop,Action,Africa,On-Time,Premium,Yes,10,38,3267,1,1,1,2.33,Medium,Adult
C00057,1,10,3.17,9,Desktop,Action,"North America",Delayed,Standard,No,6,58,8364,3,4,0,0.79,High,Senior
C00058,24,4,2.46,5,"Smart TV",Documentary,Asia,On-Time,Basic,No,3,48,3936,1,5,0,0.49,Medium,Adult
C00059,24,2,3.95,2,"Smart TV",Sci-Fi,"South America",On-Time,Premium,Yes,10,64,8518,4,3,1,1.32,High,Senior
C00060,24,4,2.83,1,Mobile,Romance,"North America",On-Time,Premium,Yes,5,18,1893,3,1,1,2.83,Low,Teen
C00061,3,6,3.36,7,"Smart TV",Sci-Fi,Europe,Delayed,Premium,No,2,41,2540,1,5,0,0.67,Low,Adult
C00062,3,5,2.26,6,Desktop,Thriller,Asia,On-Time,Premium,Yes,0,56,6313,4,3,1,0.75,Medium,Senior
C00063,6,8,4.83,8,"Smart TV",Comedy,Asia,On-Time,Standard,Yes,4,44,1037,0,1,1,4.83,Low,Adult
C00064,6,5,3.14,1,"Smart TV",Sci-Fi,"South America",Delayed,Premium,No,5,49,8562,5,5,0,0.63,High,Adult
C00065,6,2,1.93,10,Mobile,Drama,Europe,On-Time,Standard,Yes,5,27,7201,4,4,1,0.48,High,Young
C00066,1,5,2.28,8,Desktop,Sci-Fi,Africa,Delayed,Premium,No,3,70,7085,3,5,0,0.46,High,Senior
C00067,24,5,3.18,8,Mobile,Action,Asia,On-Time,Basic,No,0,61,4698,2,5,0,0.64,Medium,Senior
C00068,12,1,4.32,6,Mobile,Drama,"North America",Delayed,Premium,Yes,3,37,3188,2,2,1,2.16,Medium,Adult
C00069,1,1,1.68,3,Laptop,Documentary,Asia,Delayed,Standard,No,1,67,8818,1,5,0,0.34,High,Senior
C00070,6,10,1.72,10,Desktop,Comedy,"South America",On-Time,Standard,No,9,23,1533,2,5,0,0.34,Low,Young
C00071,12,1,2.74,9,Tablet,Drama,Africa,On-Time,Basic,No,3,49,649,3,2,0,1.37,Low,Adult
C00072,24,2,3.12,3,Mobile,Thriller,Africa,On-Time,Standard,No,3,31,9897,5,4,0,0.78,High,Young
C00073,12,10,2.68,7,"Smart TV",Thriller,"North America",Delayed,Premium,Yes,2,26,7357,1,3,1,0.89,High,Young
C00074,12,6,4.59,7,Mobile,Action,"South America",Delayed,Standard,Yes,10,48,6488,2,2,1,2.30,Medium,Adult
C00075,6,2,1.97,7,Mobile,Thriller,"South America",Delayed,Basic,No,8,57,2702,0,1,0,1.97,Low,Senior
C00076,1,6,4.03,10,Tablet,Drama,"North America",On-Time,Standard,No,1,41,3085,3,4,0,1.01,Medium,Adult
C00077,12,4,4.84,8,Desktop,Action,"South America",Delayed,Premium,No,6,36,8691,2,3,0,1.61,High,Adult
C00078,12,6,3.01,5,Laptop,Thriller,"North America",Delayed,Basic,Yes,9,38,8645,3,3,1,1.00,High,Adult
C00079,6,6,0.87,3,"Smart TV",Drama,Europe,Delayed,Premium,Yes,1,44,2082,1,3,1,0.29,Low,Adult
C00080,12,2,4.42,8,Laptop,Action,"North America",Delayed,Basic,Yes,6,54,3866,4,1,1,4.42,Medium,Adult
C00081,1,3,1.06,7,"Smart TV",Action,"North America",On-Time,Standard,Yes,9,44,1717,4,4,1,0.27,Low,Adult
C00082,24,9,2.82,6,Desktop,Thriller,"South America",On-Time,Premium,Yes,7,35,3577,0,4,1,0.71,Medium,Young
C00083,24,5,0.83,8,Laptop,Action,Europe,On-Time,Standard,No,6,70,2676,2,3,0,0.28,Low,Senior
C00084,6,8,1.68,8,Tablet,Romance,Africa,Delayed,Basic,Yes,5,19,3394,0,3,1,0.56,Medium,Teen
C00085,6,5,4.98,5,Mobile,Romance,"South America",On-Time,Basic,No,1,43,8991,3,1,0,4.98,High,Adult
C00086,1,7,1.87,8,Mobile,Thriller,Africa,On-Time,Basic,Yes,5,60,6731,5,1,1,1.87,Medium,Senior
C00087,6,2,1.21,3,"Smart TV",Action,Asia,Delayed,Basic,Yes,1,20,5244,4,1,1,1.21,Medium,Young
C00088,3,3,1,9,Tablet,Documentary,Africa,Delayed,Basic,Yes,0,21,7865,0,4,1,0.25,High,Young
C00089,1,5,0.96,7,Mobile,Sci-Fi,"South America",Delayed,Standard,No,8,31,6014,5,2,0,0.48,Medium,Young
C00090,24,6,2.9,4,Laptop,Action,"South America",Delayed,Standard,No,6,40,6615,5,1,0,2.90,Medium,Adult
C00091,6,9,1.84,1,Desktop,Thriller,Africa,On-Time,Standard,Yes,7,47,3897,5,5,1,0.37,Medium,Adult
C00092,12,2,4.57,9,Laptop,Thriller,"South America",Delayed,Basic,No,5,36,8823,4,2,0,2.29,High,Adult
C00093,6,9,1.52,8,"Smart TV",Documentary,"North America",Delayed,Premium,No,6,18,6381,5,5,0,0.30,Medium,Teen
C00094,24,5,3.25,7,Tablet,Drama,Africa,On-Time,Standard,No,1,55,1487,2,5,0,0.65,Low,Adult
C00095,6,7,3.75,4,Laptop,Drama,Asia,On-Time,Premium,Yes,4,20,7816,1,2,1,1.88,High,Young
C00096,6,2,1.15,2,Mobile,Drama,"North America",Delayed,Basic,Yes,2,49,8135,4,1,1,1.15,High,Adult
C00097,24,2,3.67,7,Desktop,Documentary,Asia,On-Time,Basic,No,7,33,4332,4,2,0,1.84,Medium,Young
C00098,1,1,3.04,3,Desktop,Action,Asia,On-Time,Standard,Yes,7,32,9414,3,1,1,3.04,High,Young
C00099,12,1,3.72,8,Laptop,Romance,"South America",On-Time,Premium,Yes,1,48,8800,3,4,1,0.93,High,Adult
C00100,6,8,3.12,1,Tablet,Thriller,Africa,On-Time,Standard,Yes,9,54,899,0,1,1,3.12,Low,Adult
C00101,1,3,2.02,7,Laptop,Action,Europe,On-Time,Basic,No,4,38,8587,3,2,0,1.01,High,Adult
C00102,24,8,1.66,1,"Smart TV",Documentary,Europe,On-Time,Standard,Yes,2,49,4434,0,1,1,1.66,Medium,Adult
C00103,3,8,3.56,10,Tablet,Thriller,Europe,Delayed,Premium,No,2,37,9734,0,1,0,3.56,High,Adult
C00104,12,10,2.16,4,Mobile,Sci-Fi,"South America",Delayed,Standard,Yes,8,68,8804,0,4,1,0.54,High,Senior
C00105,1,7,4.3,7,Laptop,Thriller,Asia,On-Time,Standard,Yes,9,33,1549,0,2,1,2.15,Low,Young
C00106,3,6,1.48,2,Tablet,Documentary,Asia,Delayed,Premium,No,6,52,2472,4,4,0,0.37,Low,Adult
C00107,3,5,3.13,5,"Smart TV",Thriller,"South America",Delayed,Standard,Yes,7,27,8359,3,3,1,1.04,High,Young
C00108,6,2,4.37,9,Laptop,Romance,"North America",On-Time,Standard,Yes,6,21,778,1,2,1,2.19,Low,Young
C00109,24,6,1.29,6,Laptop,Drama,"South America",On-Time,Premium,Yes,3,47,1102,4,1,1,1.29,Low,Adult
C00110,3,2,2.71,2,Desktop,Action,Africa,On-Time,Standard,No,5,52,3665,2,1,0,2.71,Medium,Adult
C00111,24,3,0.73,9,"Smart TV",Drama,"North America",On-Time,Premium,Yes,10,24,5934,4,5,1,0.15,Medium,Young
C00112,3,8,3.77,8,"Smart TV",Documentary,Asia,On-Time,Premium,Yes,5,42,5603,1,2,1,1.89,Medium,Adult
C00113,1,1,3.61,1,Tablet,Sci-Fi,"South America",Delayed,Standard,No,10,30,9852,1,1,0,3.61,High,Young
C00114,3,8,3.27,3,Mobile,Sci-Fi,Africa,Delayed,Premium,No,7,47,1396,4,5,0,0.65,Low,Adult
C00115,12,1,4.06,4,Desktop,Documentary,"South America",Delayed,Standard,No,6,28,2274,5,2,0,2.03,Low,Young
C00116,1,7,1.48,4,Desktop,Drama,Africa,On-Time,Standard,Yes,10,55,6990,2,5,1,0.30,Medium,Adult
C00117,1,9,2.82,9,Laptop,Drama,"South America",On-Time,Standard,No,8,61,3728,3,3,0,0.94,Medium,Senior
C00118,1,3,3.92,9,Tablet,Romance,"North America",On-Time,Standard,Yes,9,31,4954,3,5,1,0.78,Medium,Young
C00119,12,4,2.66,7,Mobile,Thriller,"North America",On-Time,Premium,Yes,2,29,4886,3,4,1,0.67,Medium,Young
C00120,6,4,2.58,6,Laptop,Action,"South America",On-Time,Basic,Yes,2,54,9951,3,4,1,0.65,High,Adult
C00121,6,3,3.86,8,Tablet,Sci-Fi,"North America",Delayed,Standard,No,3,36,8857,4,2,0,1.93,High,Adult
C00122,12,8,3.33,6,Tablet,Romance,Europe,On-Time,Standard,No,4,66,8145,1,5,0,0.67,High,Senior
C00123,6,5,3.48,8,Tablet,Comedy,"North America",Delayed,Standard,Yes,9,70,9654,1,2,1,1.74,High,Senior
C00124,24,5,1.55,6,Desktop,Sci-Fi,Africa,On-Time,Premium,Yes,2,31,2896,3,5,1,0.31,Low,Young
C00125,3,2,0.92,5,Desktop,Documentary,"South America",Delayed,Basic,Yes,9,52,8463,1,3,1,0.31,High,Adult
C00126,1,5,3.04,2,Laptop,Thriller,Africa,Delayed,Basic,Yes,5,27,6089,3,2,1,1.52,Medium,Young
C00127,24,5,3.8,9,"Smart TV",Action,Africa,On-Time,Premium,Yes,7,26,4761,4,2,1,1.90,Medium,Young
C00128,24,8,1.73,6,Laptop,Action,Africa,Delayed,Standard,No,7,58,3597,5,5,0,0.35,Medium,Senior
C00129,24,3,3.59,4,Laptop,Drama,Asia,Delayed,Basic,Yes,5,67,7761,5,4,1,0.90,High,Senior
C00130,6,4,2.71,7,Desktop,Sci-Fi,"South America",On-Time,Premium,No,4,49,6118,2,2,0,1.36,Medium,Adult
C00131,1,1,2.46,5,Mobile,Thriller,Africa,Delayed,Premium,Yes,3,21,2380,4,2,1,1.23,Low,Young
C00132,3,4,3.73,9,Tablet,Romance,Asia,Delayed,Standard,No,0,59,3509,0,5,0,0.75,Medium,Senior
C00133,12,1,1.1,9,"Smart TV",Drama,"North America",On-Time,Standard,No,3,54,3271,2,4,0,0.28,Medium,Adult
C00134,1,6,3.66,3,Laptop,Action,Africa,On-Time,Premium,No,4,57,6940,2,4,0,0.92,Medium,Senior
C00135,12,10,4.41,7,Tablet,Documentary,Asia,Delayed,Premium,Yes,4,29,4775,4,5,1,0.88,Medium,Young
C00136,3,8,1.65,4,Mobile,Sci-Fi,"South America",On-Time,Basic,Yes,9,34,7400,3,1,1,1.65,High,Young
C00137,12,10,0.7,8,Mobile,Sci-Fi,Africa,Delayed,Standard,No,6,40,2956,1,2,0,0.35,Low,Adult
C00138,6,3,1.26,6,Tablet,Action,Asia,Delayed,Basic,Yes,9,67,9331,3,1,1,1.26,High,Senior
C00139,3,2,0.98,8,Laptop,Drama,"South America",On-Time,Basic,Yes,2,59,5318,3,2,1,0.49,Medium,Senior
C00140,12,6,2.91,10,"Smart TV",Thriller,Asia,Delayed,Premium,Yes,6,58,6894,0,5,1,0.58,Medium,Senior
C00141,6,2,3.65,1,Tablet,Sci-Fi,Africa,On-Time,Basic,Yes,2,20,1430,3,1,1,3.65,Low,Young
C00142,1,6,1.46,1,Tablet,Sci-Fi,Africa,On-Time,Premium,Yes,4,67,7170,2,1,1,1.46,High,Senior
C00143,12,9,1.85,4,"Smart TV",Thriller,Asia,Delayed,Basic,Yes,3,38,3265,1,3,1,0.62,Medium,Adult
C00144,24,10,2.8,10,Tablet,Drama,Asia,Delayed,Basic,Yes,5,60,5854,1,1,1,2.80,Medium,Senior
C00145,12,7,3.27,2,Laptop,Thriller,"South America",On-Time,Premium,Yes,3,53,3724,1,3,1,1.09,Medium,Adult
C00146,6,10,3.36,2,Mobile,Action,Europe,Delayed,Basic,Yes,10,34,5939,5,1,1,3.36,Medium,Young
C00147,24,9,0.65,5,Mobile,Drama,"North America",Delayed,Premium,No,7,65,5687,2,2,0,0.33,Medium,Senior
C00148,6,3,1.85,1,Laptop,Romance,"North America",Delayed,Standard,No,6,21,8330,1,2,0,0.93,High,Young
C00149,1,4,3.95,7,"Smart TV",Documentary,"North America",On-Time,Premium,No,9,57,5845,4,4,0,0.99,Medium,Senior
C00150,3,10,4.57,6,Mobile,Action,"South America",On-Time,Standard,Yes,4,23,5480,0,2,1,2.29,Medium,Young
C00151,12,2,1.22,6,Mobile,Documentary,Africa,Delayed,Standard,No,6,21,2719,0,5,0,0.24,Low,Young
C00152,24,3,4.93,6,Laptop,Sci-Fi,Europe,Delayed,Basic,Yes,1,49,2069,3,4,1,1.23,Low,Adult
C00153,1,9,4.67,9,"Smart TV",Thriller,Africa,On-Time,Premium,No,9,18,3192,1,4,0,1.17,Medium,Teen
C00154,1,10,1.56,8,Mobile,Documentary,Asia,On-Time,Standard,Yes,1,54,5121,5,3,1,0.52,Medium,Adult
C00155,3,8,4.64,2,Mobile,Sci-Fi,Asia,Delayed,Premium,No,4,29,3993,2,4,0,1.16,Medium,Young
C00156,3,2,3.99,6,Laptop,Drama,"South America",Delayed,Basic,Yes,3,26,2417,3,5,1,0.80,Low,Young
C00157,24,3,4.22,6,Laptop,Drama,"South America",Delayed,Standard,Yes,1,56,9607,5,3,1,1.41,High,Senior
C00158,24,7,1.76,1,"Smart TV",Documentary,"North America",On-Time,Premium,Yes,5,36,1383,4,3,1,0.59,Low,Adult
C00159,12,6,1.98,2,Desktop,Documentary,Africa,On-Time,Premium,Yes,5,42,7028,4,5,1,0.40,High,Adult
C00160,24,8,2.34,6,"Smart TV",Comedy,"North America",On-Time,Standard,Yes,6,22,5000,0,4,1,0.59,Medium,Young
C00161,6,2,4.13,3,Tablet,Thriller,Asia,On-Time,Premium,No,9,69,1043,4,1,0,4.13,Low,Senior
C00162,6,5,4.59,4,Desktop,Drama,Europe,On-Time,Premium,Yes,3,62,5021,1,5,1,0.92,Medium,Senior
C00163,6,8,2.3,1,Laptop,Sci-Fi,"South America",Delayed,Premium,No,1,46,6755,1,1,0,2.30,Medium,Adult
C00164,1,5,2.53,8,Mobile,Documentary,"North America",On-Time,Basic,No,0,25,8774,0,1,0,2.53,High,Young
C00165,6,6,4.01,2,Desktop,Action,Africa,Delayed,Basic,Yes,9,21,3764,3,5,1,0.80,Medium,Young
C00166,1,7,3.88,1,Tablet,Sci-Fi,"South America",On-Time,Standard,No,0,50,1154,1,5,0,0.78,Low,Adult
C00167,1,3,1.06,10,Desktop,Sci-Fi,"South America",On-Time,Premium,No,9,29,1172,0,2,0,0.53,Low,Young
C00168,3,7,3.11,1,Mobile,Romance,"South America",Delayed,Standard,No,0,34,5523,5,1,0,3.11,Medium,Young
C00169,12,2,2.89,9,Tablet,Comedy,Europe,On-Time,Premium,Yes,8,22,911,1,4,1,0.72,Low,Young
C00170,24,7,4.04,2,"Smart TV",Romance,Europe,Delayed,Basic,Yes,5,67,3677,5,4,1,1.01,Medium,Senior
C00171,1,5,0.99,5,Mobile,Sci-Fi,Africa,Delayed,Premium,No,4,67,5577,0,5,0,0.20,Medium,Senior
C00172,1,7,4.26,6,Laptop,Drama,Asia,Delayed,Premium,No,3,56,1358,4,1,0,4.26,Low,Senior
C00173,12,8,3.13,5,Tablet,Action,Asia,On-Time,Basic,Yes,6,43,4870,4,1,1,3.13,Medium,Adult
C00174,3,9,4.06,5,Mobile,Documentary,"North America",Delayed,Basic,Yes,6,50,8641,3,5,1,0.81,High,Adult
C00175,3,3,3.54,3,Tablet,Romance,Africa,On-Time,Basic,No,7,60,6922,5,3,0,1.18,Medium,Senior
C00176,1,8,2.65,6,Laptop,Sci-Fi,Europe,On-Time,Basic,No,2,21,4925,2,2,0,1.33,Medium,Young
C00177,6,10,1.27,8,"Smart TV",Action,"South America",Delayed,Basic,No,5,45,7289,2,5,0,0.25,High,Adult
C00178,3,5,1.35,8,Tablet,Sci-Fi,"South America",On-Time,Standard,Yes,5,18,6584,3,1,1,1.35,Medium,Teen
C00179,12,8,4.4,8,Mobile,Thriller,"South America",On-Time,Premium,Yes,6,53,6478,1,3,1,1.47,Medium,Adult
C00180,3,2,2.13,5,Tablet,Comedy,Europe,Delayed,Basic,No,2,49,1091,0,4,0,0.53,Low,Adult
C00181,24,3,3.77,3,Tablet,Thriller,"South America",Delayed,Standard,Yes,3,55,3989,3,4,1,0.94,Medium,Adult
C00182,6,6,4.33,2,Desktop,Romance,Europe,On-Time,Standard,No,4,29,8577,1,2,0,2.17,High,Young
C00183,12,7,3.82,2,Mobile,Sci-Fi,"South America",Delayed,Premium,No,2,22,9202,3,2,0,1.91,High,Young
C00184,6,8,2.25,10,Mobile,Action,"South America",On-Time,Basic,Yes,10,58,8169,2,2,1,1.13,High,Senior
C00185,24,3,1.72,4,Laptop,Comedy,"South America",On-Time,Standard,No,1,47,7084,0,2,0,0.86,High,Adult
C00186,6,2,4.59,8,"Smart TV",Documentary,"South America",Delayed,Basic,Yes,4,46,4460,0,1,1,4.59,Medium,Adult
C00187,24,5,2.66,1,Laptop,Comedy,Asia,Delayed,Premium,Yes,10,70,6745,0,3,1,0.89,Medium,Senior
C00188,24,10,0.76,3,Laptop,Thriller,Europe,Delayed,Basic,No,2,58,9454,5,3,0,0.25,High,Senior
C00189,24,10,2.18,1,Desktop,Action,Asia,Delayed,Premium,No,7,39,3847,5,2,0,1.09,Medium,Adult
C00190,12,5,2.32,6,Tablet,Action,"South America",Delayed,Standard,No,0,55,8022,5,1,0,2.32,High,Adult
C00191,3,1,2.95,3,Laptop,Comedy,Africa,On-Time,Premium,Yes,8,64,4309,0,1,1,2.95,Medium,Senior
C00192,24,3,4.61,9,Laptop,Sci-Fi,"South America",On-Time,Premium,Yes,7,60,5322,4,5,1,0.92,Medium,Senior
C00193,3,1,3,2,Tablet,Documentary,Asia,On-Time,Basic,Yes,9,50,9944,3,5,1,0.60,High,Adult
C00194,12,6,3.25,1,Desktop,Romance,Europe,On-Time,Premium,Yes,0,27,705,2,3,1,1.08,Low,Young
C00195,3,1,0.65,7,Mobile,Documentary,Africa,On-Time,Basic,Yes,3,28,1795,5,2,1,0.33,Low,Young
C00196,6,3,4.47,3,Mobile,Sci-Fi,Europe,On-Time,Premium,Yes,3,34,8461,2,5,1,0.89,High,Young
